temp_Norway,temp_Netherlands,temp_Switzerland
999,5.36,2.43
999,7.16,3.4
999,2.86,-2.47
999,4.26,1.53
999,4.96,3.43
999,7.86,7.41
999,10.96,11.21
999,16.46,18.05
999,17.66,19.72
999,17.16,16.66
999,14.06,14.95
999,9.66,8.67
999,7.06,4.72
999,2.56,-1.44
999,4.66,3.1
999,2.16,1
999,6.46,6.45
999,6.16,7.79
999,12.96,13.22
999,16.46,16.01
999,16.36,16.97
999,16.86,17.03
999,14.06,14.3
999,8.66,5.93
999,5.16,3.65
999,3.26,0.9
999,2.56,0.55
999,4.76,3.13
999,3.36,3.35
999,8.76,8.44
999,14.16,14.93
999,15.66,17.63
999,16.66,18.11
999,17.36,17.86
999,13.36,13.43
999,10.86,8.98
999,4.56,3.21
999,1.56,-0.93
999,3.96,0.31
999,3.36,0.24
999,7.66,7.7
999,6.86,6.08
999,11.06,10.85
999,15.36,17.37
999,16.06,17.21
999,17.86,17.33
999,14.96,14.68
999,9.46,9.03
999,8.66,5.76
999,0.35,-2.68
999,4.25,1.49
999,3.45,1.14
999,4.45,1.84
999,9.15,10.05
999,11.95,9.36
999,16.25,15.91
999,16.95,16.74
999,17.55,17.62
999,15.05,13.17
999,7.55,7.31
999,7.25,5.44
999,0.95,-1.86
999,-5.55,-6.48
999,-1.35,-0.35
999,5.15,4.4
999,8.95,8.89
999,13.15,12.46
999,16.55,15.85
999,15.75,16.48
999,15.15,15.64
999,12.85,13.86
999,8.75,8.07
999,6.65,4.7
999,0.65,-4.51
999,-2.55,-3.84
999,1.55,1.13
999,4.65,5.27
999,6.75,6.33
999,9.55,9.07
999,16.75,16.49
999,19.15,19.12
999,14.95,15.96
999,14.35,13.2
999,9.65,7.67
999,4.05,2.07
999,4.65,-0.2
999,-5.15,-5.89
999,-4.25,-4.15
999,2.65,4.89
999,9.25,9.14
999,12.05,13
999,14.35,16.19
999,15.95,17.63
999,17.85,17.75
999,14.65,16.37
999,11.85,11.72
999,5.55,1.86
999,4.15,0.02
999,2.65,-0.69
999,4.35,2.56
999,6.35,6.78
999,10.45,9.91
999,13.35,14.02
999,14.35,15.04
999,17.15,18.43
999,16.75,19.8
999,13.35,15.1
999,10.35,10.82
999,4.65,2.54
999,1.24,-0.14
999,5.14,1.34
999,1.74,-2.3
999,3.54,1.09
999,9.44,10.31
999,11.54,12.42
999,14.04,14.83
999,16.84,17.54
999,19.24,20.78
999,13.14,13.5
999,9.44,8.26
999,6.34,3.49
999,2.44,-1.33
999,-1.66,-6.14
999,5.94,3.47
999,7.24,6.03
999,10.14,10.3
999,13.54,15.07
999,15.94,18.45
999,17.74,19.22
999,16.34,16.88
999,14.44,15.02
999,11.44,9.23
999,4.84,1.73
999,3.14,0.12
999,0.14,-2.86
999,4.54,3.03
999,4.14,5.55
999,10.24,11.37
999,12.84,14.55
999,13.84,15.36
999,17.34,18.6
999,15.64,17.06
999,14.44,14.72
999,9.24,7.83
999,6.44,3.04
999,-0.36,-2.05
999,-1.46,-4.02
999,-5.56,-2.75
999,3.24,4.91
999,8.94,11.49
999,15.04,14.58
999,17.44,18.3
999,18.74,19.9
999,19.74,20.5
999,16.74,17.14
999,9.24,8.99
999,7.04,5.58
999,4.13,0.72
999,5.03,2.64
999,2.93,1.16
999,6.63,8.18
999,9.93,9.61
999,12.63,14.41
999,15.23,15.63
999,16.53,15.29
999,16.33,17.27
999,14.33,14.21
999,9.63,10
999,4.83,3.72
999,3.43,-0.82
999,3.63,-0.29
999,3.73,1.18
999,3.93,3.01
999,10.33,11.76
999,11.23,11.6
999,14.33,16.11
999,17.33,19.69
999,17.03,18.66
999,17.13,17
999,11.33,11.11
999,5.13,2.92
999,4.33,2.36
999,0.93,-1.06
999,5.43,3.19
999,6.43,5.62
999,7.63,6.89
999,12.73,14.55
999,17.23,18.65
999,17.23,20.24
999,17.03,18.18
999,13.33,13.59
999,9.13,8.81
999,5.83,4.09
999,-1.27,-2.38
999,3.93,0.88
999,3.83,1.9
999,3.93,3.19
999,7.13,7.98
999,12.03,11.8
999,15.13,15.49
999,16.83,17.96
999,16.23,17.39
999,15.13,14.91
999,8.53,7.54
999,8.33,6.03
999,4.23,-0.14
999,2.43,-1.17
999,2.43,-1.22
999,4.93,5.02
999,10.53,10.53
999,13.43,13.59
999,15.03,17.16
999,17.33,20.7
999,16.93,19.1
999,11.53,11.38
999,8.23,8.42
999,3.03,2.22
999,1.42,-0.43
999,1.32,-3.15
999,2.42,-0.83
999,5.02,6.01
999,8.62,9.82
999,13.02,14.25
999,15.72,14.86
999,17.02,18.21
999,16.42,17.68
999,13.82,15.1
999,11.72,10.35
999,7.62,2.81
999,5.22,1.25
999,0.32,-3.28
999,-0.38,-1.87
999,5.92,6.16
999,6.72,5.89
999,13.12,11.52
999,15.02,15.97
999,14.22,15.54
999,15.72,15.99
999,13.42,14.73
999,11.92,9.71
999,6.82,4.44
999,5.42,2.39
999,0.22,-0.73
999,0.22,0.2
999,1.92,2.1
999,8.62,8.17
999,10.12,11.7
999,14.42,15.95
999,17.72,17.6
999,17.82,16.74
999,14.42,13.96
999,9.72,8.16
999,6.72,2.18
999,4.72,3.04
999,2.12,1.53
999,-6.48,-8.97
999,5.62,4.34
999,5.82,6.8
999,12.12,12.75
999,12.72,13.45
999,16.12,17.25
999,14.12,15.44
999,14.82,15.37
999,9.82,7.78
999,5.12,1.42
999,5.22,0.53
999,3.52,-1.55
999,5.15,4.1
999,8.45,8.47
999,8.75,8.39
999,10.15,9.75
999,16.05,16.65
999,17.45,17.79
999,15.55,16.26
999,12.75,13.58
999,10.75,9.02
999,6.45,3.2
999,3.24,0.11
999,2.34,-0.57
999,3.94,3.38
999,2.34,0.72
999,6.44,5.59
999,12.14,14.62
999,14.54,15.12
999,16.54,18.14
999,17.14,18.25
999,15.64,16
999,10.94,8.17
999,4.94,3.08
999,4.64,1.89
999,1.74,-0.31
999,0.84,1.77
999,6.94,7.44
999,9.74,9.66
999,13.24,13.36
999,16.14,16.47
999,18.44,19.66
999,17.74,17.53
999,15.54,15.38
999,11.34,8.94
999,5.04,1.84
999,4.24,2.2
999,2.64,-0.52
999,3.04,2.1
999,5.84,6.32
999,9.14,8.46
999,12.94,14.03
999,16.24,17.08
999,15.34,15.73
999,15.74,17.14
999,13.64,12.56
999,10.84,9.05
999,7.54,6.23
999,3.34,0.15
999,2.14,-0.61
999,6.04,5.37
999,7.24,7
999,10.54,11.77
999,11.04,11.46
999,15.64,16.52
999,15.54,16.52
999,15.94,17.04
999,16.54,18.25
999,11.34,10.75
999,4.84,3.69
999,1.83,0.62
999,3.63,1.25
999,2.93,-0.14
999,2.13,1.2
999,7.93,8.86
999,9.73,10.64
999,14.13,15.13
999,15.13,16.96
999,15.33,18.77
999,13.13,13.98
999,10.93,9.76
999,4.43,1.88
999,-0.57,-3.86
999,-5.17,-6.31
999,-3.27,-3.98
999,4.33,3.4
999,9.03,9.32
999,11.13,11.64
999,15.83,15.96
999,16.53,18.72
999,15.53,16.31
999,14.13,14.68
999,9.83,9.08
999,8.63,7.36
999,-0.87,-3.24
999,0.83,-3.64
999,3.63,1.96
999,2.73,2.45
999,8.73,9.6
999,14.23,14.16
999,15.23,17.26
999,16.63,19.69
999,15.83,16.96
999,13.93,14.64
999,7.73,7.44
999,6.23,4.67
999,2.33,-0.91
999,2.63,0.58
999,2.13,-2.7
999,4.43,3.98
999,7.73,6.76
999,11.93,11.58
999,14.83,16.22
999,14.93,16.23
999,15.13,16.3
999,12.63,12.49
999,9.83,8.81
999,2.83,2.93
999,4.53,2.27
999,0.53,-2.66
999,4.23,5.83
999,5.23,3.75
999,8.43,10.2
999,13.03,13.3
999,16.93,16.95
999,15.73,15.93
999,15.93,15.53
999,13.93,15.38
999,11.33,12.25
999,4.43,2.17
999,4.52,1.39
999,3.12,0.02
999,5.22,2.58
999,6.82,5.94
999,7.52,7.29
999,12.82,12.64
999,14.52,14.93
999,18.22,19.74
999,16.62,17.43
999,14.32,13.95
999,12.02,12.65
999,5.22,3.93
999,3.52,-1.41
999,2.32,-1.2
999,1.52,1.83
999,6.12,4.96
999,9.22,9.83
999,10.92,11.98
999,15.32,15.91
999,16.32,17.23
999,17.12,15.91
999,14.52,13.48
999,11.92,11.35
999,5.32,3.59
999,0.12,-1.42
999,4.72,-0.04
999,0.32,-0.78
999,2.62,3.83
