atmospheric_CO2,CO2_emissions
354.41,0.517
354.93,0.5278
355.82,0.5278
357.33,0.5278
358.77,0.5278
359.23,0.5278
358.23,0.5278
356.3,0.5278
353.97,0.5278
352.34,0.5278
352.43,0.5278
353.89,0.5278
355.21,0.5278
356.34,0.5122
357.21,0.5122
357.97,0.5122
359.22,0.5122
359.71,0.5122
359.44,0.5122
357.15,0.5122
354.99,0.5122
353.01,0.5122
353.4,0.5122
354.42,0.5122
355.68,0.5122
357.1,0.5174
357.42,0.5174
358.59,0.5174
359.39,0.5174
360.3,0.5174
359.64,0.5174
357.45,0.5174
355.76,0.5174
354.14,0.5174
354.23,0.5174
355.53,0.5174
357.03,0.5174
358.36,0.5225
359.04,0.5225
360.11,0.5225
361.36,0.5225
361.78,0.5225
360.94,0.5225
359.51,0.5225
357.59,0.5225
355.86,0.5225
356.21,0.5225
357.65,0.5225
359.1,0.5225
360.04,0.5349
361,0.5349
361.98,0.5349
363.44,0.5349
363.83,0.5349
363.33,0.5349
361.78,0.5349
359.33,0.5349
358.32,0.5349
358.14,0.5349
359.61,0.5349
360.82,0.5349
362.2,0.5512
363.36,0.5512
364.28,0.5512
364.69,0.5512
365.25,0.5512
365.06,0.5512
363.69,0.5512
361.55,0.5512
359.69,0.5512
359.72,0.5512
361.04,0.5512
362.39,0.5512
363.24,0.5545
364.21,0.5545
364.65,0.5545
366.49,0.5545
366.77,0.5545
365.73,0.5545
364.46,0.5545
362.4,0.5545
360.44,0.5545
360.97,0.5545
362.65,0.5545
364.51,0.5545
365.39,0.5526
366.1,0.5526
367.36,0.5526
368.79,0.5526
369.56,0.5526
369.13,0.5526
367.98,0.5526
366.1,0.5526
364.16,0.5526
364.54,0.5526
365.67,0.5526
367.3,0.5526
368.35,0.5649
369.28,0.5649
369.84,0.5649
371.15,0.5649
371.12,0.5649
370.46,0.5649
369.61,0.5649
367.06,0.5649
364.95,0.5649
365.52,0.5649
366.88,0.5649
368.26,0.5649
369.45,0.5802
369.71,0.5802
370.75,0.5802
371.98,0.5802
371.74,0.5802
371.87,0.5802
370.02,0.5802
368.27,0.5802
367.15,0.5802
367.18,0.5802
368.53,0.5802
369.83,0.5802
370.76,0.5844
371.69,0.5844
372.63,0.5844
373.55,0.5844
374.03,0.5844
373.4,0.5844
371.68,0.5844
369.78,0.5844
368.34,0.5844
368.61,0.5844
369.94,0.5844
371.42,0.5844
372.7,0.5974
373.37,0.5974
374.3,0.5974
375.19,0.5974
375.93,0.5974
375.69,0.5974
374.16,0.5974
372.03,0.5974
370.92,0.5974
370.73,0.5974
372.43,0.5974
373.98,0.5974
375.07,0.6289
375.82,0.6289
376.64,0.6289
377.92,0.6289
378.78,0.6289
378.46,0.6289
376.88,0.6289
374.57,0.6289
373.34,0.6289
373.31,0.6289
374.84,0.6289
376.17,0.6289
377.17,0.6507
378.05,0.6507
379.06,0.6507
380.54,0.6507
380.8,0.6507
379.87,0.6507
377.65,0.6507
376.17,0.6507
374.43,0.6507
374.63,0.6507
376.33,0.6507
377.68,0.6507
378.63,0.6732
379.91,0.6732
380.95,0.6732
382.48,0.6732
382.64,0.6732
382.4,0.6732
380.93,0.6732
378.93,0.6732
376.89,0.6732
377.19,0.6732
378.54,0.6732
380.31,0.6732
381.58,0.6958
382.4,0.6958
382.86,0.6958
384.8,0.6958
385.22,0.6958
384.24,0.6958
382.65,0.6958
380.6,0.6958
379.04,0.6958
379.33,0.6958
380.35,0.6958
382.02,0.6958
383.1,0.7164
384.12,0.7164
384.81,0.7164
386.73,0.7164
386.78,0.7164
386.33,0.7164
384.73,0.7164
382.24,0.7164
381.2,0.7164
381.37,0.7164
382.7,0.7164
384.19,0.7164
385.78,0.7289
386.06,0.7289
386.28,0.7289
387.33,0.7289
388.78,0.7289
387.99,0.7289
386.62,0.7289
384.32,0.7289
383.41,0.7289
383.22,0.7289
384.41,0.7289
385.79,0.7289
387.17,0.7167
387.7,0.7167
389.04,0.7167
389.76,0.7167
390.36,0.7167
389.7,0.7167
388.24,0.7167
386.29,0.7167
384.95,0.7167
384.64,0.7167
386.23,0.7167
387.63,0.7167
388.91,0.7578
390.41,0.7578
391.37,0.7578
392.67,0.7578
393.21,0.7578
392.38,0.7578
390.41,0.7578
388.54,0.7578
387.03,0.7578
387.43,0.7578
388.87,0.7578
389.99,0.7578
391.5,0.7842
392.05,0.7842
392.8,0.7842
393.44,0.7842
394.41,0.7842
393.95,0.7842
392.72,0.7842
390.33,0.7842
389.28,0.7842
389.19,0.7842
390.48,0.7842
392.06,0.7842
393.31,0.795
394.04,0.795
394.59,0.795
396.38,0.795
396.93,0.795
395.91,0.795
394.56,0.795
392.59,0.795
391.32,0.795
391.27,0.795
393.2,0.795
394.57,0.795
395.78,0.8023
397.03,0.8023
397.66,0.8023
398.64,0.8023
400.02,0.8023
398.81,0.8023
397.51,0.8023
395.39,0.8023
393.72,0.8023
393.9,0.8023
395.36,0.8023
397.03,0.8023
398.04,0.8066
398.27,0.8066
399.91,0.8066
401.51,0.8066
401.96,0.8066
401.43,0.8066
399.27,0.8066
397.18,0.8066
395.54,0.8066
396.16,0.8066
397.4,0.8066
399.08,0.8066
400.18,0.8052
400.55,0.8052
401.74,0.8052
403.35,0.8052
404.15,0.8052
402.97,0.8052
401.46,0.8052
399.11,0.8052
397.82,0.8052
398.49,0.8052
400.27,0.8052
402.06,0.8052
402.73,0.805
404.25,0.805
405.06,0.805
407.6,0.805
407.9,0.805
406.99,0.805
404.59,0.805
402.45,0.805
401.23,0.805
401.79,0.805
403.72,0.805
404.64,0.805
406.36,0.8182
406.66,0.8182
407.54,0.8182
409.22,0.8182
409.89,0.8182
409.08,0.8182
407.33,0.8182
405.32,0.8182
403.57,0.8182
403.82,0.8182
405.31,0.8182
407,0.8182
408.15,0.8355
408.52,0.8355
409.59,0.8355
410.45,0.8355
411.44,0.8355
410.99,0.8355
408.9,0.8355
407.16,0.8355
405.71,0.8355
406.19,0.8355
408.21,0.8355
409.27,0.8355
411.03,0.8435
411.96,0.8435
412.18,0.8435
413.54,0.8435
414.86,0.8435
414.15,0.8435
411.96,0.8435
410.17,0.8435
408.76,0.8435
408.74,0.8435
410.47,0.8435
411.97,0.8435
413.59,0.7996
414.32,0.7996
414.72,0.7996
416.42,0.7996
417.28,0.7996
416.58,0.7996
414.58,0.7996
412.75,0.7996
411.5,0.7996
411.49,0.7996
413.1,0.7996
414.23,0.7996
415.49,0.8385
416.72,0.8385
417.61,0.8385
419.01,0.8385
419.09,0.8385
418.93,0.8385
416.9,0.8385
414.42,0.8385
413.26,0.8385
413.9,0.8385
414.97,0.8385
416.67,0.8385
418.13,0.8535
419.24,0.8535
418.76,0.8535
420.19,0.8535
420.97,0.8535
420.94,0.8535
418.85,0.8535
417.15,0.8535
415.91,0.8535
415.74,0.8535
417.47,0.8535
418.99,0.8535
419.47,0.8664
420.31,0.8664
420.99,0.8664
423.31,0.8664
424,0.8664
423.68,0.8664
421.83,0.8664
419.68,0.8664
418.5,0.8664
418.82,0.8664
420.46,0.8664
421.86,0.8664
422.8,0.8779
424.55,0.8779
