temp_Iceland,temp_Azores,temp_St_Helena,temp_Rothera
7.96,999,16.78,999
9.26,999,15.28,999
9.36,999,14.88,999
5.36,999,15.18,999
3.06,999,15.28,999
0.36,999,15.78,999
0.96,999,17.88,999
-2.84,999,19.18,999
0.96,999,20.38,999
3.76,999,20.88,999
3.56,999,19.48,999
4.66,999,18.58,999
9.16,999,18.98,999
10.06,999,15.18,999
8.46,999,14.78,999
4.26,999,15.38,999
1.46,999,15.18,999
-3.34,999,15.68,999
-2.25,999,19.28,999
0.95,999,19.38,999
-0.25,999,20.28,999
-3.15,999,20.48,999
-0.35,999,19.38,999
2.75,999,18.48,999
7.65,999,17.08,999
9.95,999,15.58,999
8.75,999,15.78,999
4.75,999,16.08,999
3.35,999,15.88,999
3.25,999,18.08,999
0.15,999,18.28,999
0.25,999,999,999
-3.05,999,999,999
-0.15,999,999,999
1.15,999,999,999
5.45,999,999,999
11.55,999,999,999
12.15,999,999,999
10.65,999,999,999
7.05,999,999,999
1.85,999,999,999
1.35,999,16.68,999
-3.95,999,17.12,999
-0.25,999,18.62,999
0.85,999,20.42,999
-1.75,999,19.62,999
5.15,999,19.32,999
5.15,999,17.92,999
10.35,999,16.42,999
12.85,999,15.32,999
10.45,999,14.72,999
5.85,999,14.32,999
-0.75,999,15.32,999
-0.65,999,15.12,999
-0.05,999,16.42,999
-3.25,999,17.82,999
0.55,999,19.02,999
0.95,999,19.52,999
0.25,999,18.82,999
6.25,999,17.72,999
9.55,999,17.12,999
13.25,999,15.72,999
9.55,999,15.32,999
6.25,999,15.02,999
1.95,999,15.22,999
0.85,999,16.62,999
-1.55,999,17.92,999
-2.55,999,18.82,999
-1.35,999,19.82,999
-0.35,999,21.12,999
3.95,999,18.82,999
7.95,999,18.12,999
7.05,999,16.92,999
10.45,999,15.92,999
10.25,999,15.12,999
8.95,999,14.62,999
3.65,999,15.42,999
1.35,999,16.02,999
-0.46,13.94,16.42,999
0.34,13.34,17.52,999
1.74,12.24,18.92,999
5.34,12.14,18.52,999
3.14,13.24,18.82,999
5.04,14.14,17.32,999
7.64,16.34,16.02,999
11.64,17.74,14.12,999
8.34,19.44,14.02,999
5.64,19.04,13.42,999
0.24,17.24,15.42,999
-1.26,16.04,16.62,999
0.44,14.44,17.32,999
-3.06,11.84,18.52,999
1.14,11.84,19.02,999
-4.36,12.34,19.82,999
3.94,12.54,19.32,999
7.04,15.44,18.82,999
9.94,17.44,16.82,999
10.24,19.24,16.02,999
9.24,19.84,14.72,999
8.94,19.54,14.42,999
1.94,16.54,15.82,999
-2.86,15.14,16.52,999
0.04,13.14,17.92,999
-3.06,12.74,18.62,999
-4.86,12.94,19.72,999
-1.66,12.84,19.92,999
3.54,12.74,19.12,999
5.94,14.84,18.72,999
8.24,15.84,17.12,999
10.64,18.44,15.42,999
12.84,20.04,14.92,999
10.34,18.34,14.92,999
3.44,17.74,14.82,999
1.54,15.24,15.52,999
-0.96,14.14,17.42,999
-2.45,13.84,18.42,999
4.94,12.64,19.12,999
1.24,12.74,19.32,999
-0.86,12.84,19.12,999
7.94,14.04,18.12,999
11.84,16.94,16.52,999
10.54,18.24,14.92,999
12.24,19.54,14.92,999
6.14,18.54,13.92,999
1.74,16.64,14.32,999
1.04,13.94,15.32,999
0.93,12.64,17.32,999
2.03,11.74,18.92,999
-3.87,12.44,20.02,999
0.63,13.14,20.52,999
1.73,13.34,19.32,999
10.13,14.74,18.52,999
999,16.64,16.52,999
14.23,19.04,15.52,999
11.53,19.94,15.32,999
10.73,19.14,14.92,999
2.43,17.04,15.62,999
2.73,14.74,15.32,999
3.33,12.84,17.12,999
-0.67,12.44,19.12,999
0.83,11.14,19.72,999
-1.67,12.24,19.72,999
2.93,11.64,19.32,999
6.03,13.84,18.72,999
12.13,16.24,17.52,999
12.33,18.14,15.82,999
11.13,20.04,15.62,999
8.03,18.04,15.92,999
2.23,17.14,15.72,999
0.53,14.14,16.92,999
1.33,13.84,17.92,999
1.73,12.44,19.72,999
-6.27,12.24,20.52,999
1.43,12.84,20.32,999
1.13,13.44,19.62,999
8.73,14.64,18.12,999
9.33,15.64,16.52,999
11.33,17.74,15.12,999
10.23,19.04,15.22,999
6.73,18.84,14.72,999
1.43,16.64,16.12,999
0.73,14.54,15.82,999
-2.77,14.14,17.12,999
-6.17,12.64,18.82,999
-4.07,11.24,18.92,999
-1.37,11.34,19.12,999
1.53,12.04,19.02,999
9.33,13.64,17.22,999
11.23,15.24,15.92,999
12.13,18.44,15.32,999
11.33,19.34,15.12,999
8.53,19.24,15.32,999
5.23,16.64,14.92,999
0.83,14.64,15.72,999
-4.27,12.64,17.92,999
0.03,10.54,19.32,999
-2.46,12.54,20.52,999
-5.37,12.24,20.72,999
3.43,13.24,20.02,999
6.63,14.54,19.22,999
10.33,16.94,17.32,999
11.03,20.04,15.72,999
11.13,20.54,15.42,999
7.03,19.64,14.92,999
3.43,16.24,15.32,999
1.83,13.44,16.52,999
1.42,12.84,17.12,999
-1.28,12.54,18.12,999
1.02,11.94,19.62,999
0.02,12.34,19.92,999
5.62,13.64,19.12,999
5.02,15.14,18.52,999
7.62,18.14,17.12,999
9.12,19.64,16.62,999
11.22,20.54,15.92,999
9.12,19.14,14.52,999
3.92,18.04,14.52,999
-0.08,15.44,15.72,999
0.72,13.54,16.62,999
-3.48,12.84,18.52,999
-0.68,12.94,19.52,999
2.42,12.54,19.92,999
2.92,13.94,19.32,999
9.72,15.04,18.32,999
12.02,17.64,17.92,999
11.72,19.54,16.12,999
13.22,20.14,15.72,999
11.92,18.34,16.32,999
6.52,15.94,15.72,999
-1.08,14.14,16.62,999
-2.38,13.74,17.82,999
-0.58,12.64,19.72,999
-3.08,11.94,999,999
-2.47,13.14,20.62,999
0.82,13.04,19.92,999
8.02,13.74,18.02,999
11.42,16.44,17.12,999
